Latitude (X),Longitude(Y),Depth
-74.5291812,39.4962443,2.8000000
-74.5292531,39.4961330,2.4000000
-74.5292890,39.4960216,2.9000000
-74.5292980,39.4959033,3.6000000
-74.5292980,39.4957989,3.3000000
-74.5292801,39.4956945,3.4000000
-74.5292531,39.4955623,3.4000000
-74.5292621,39.4953952,3.5000000
-74.5292621,39.4952561,2.9000000
-74.5292531,39.4951308,2.6000000
-74.5292711,39.4950194,2.6000000
-74.5292711,39.4949359,2.6000000
-74.5292441,39.4948733,2.7000000
-74.5295765,39.4943374,2.6000000
-74.5296124,39.4943165,2.6000000
-74.5296034,39.4943652,2.6000000
-74.5296124,39.4944418,2.6000000
-74.5296214,39.4945462,2.6000000
-74.5296034,39.4947201,2.5000000
-74.5296034,39.4948872,2.6000000
-74.5295765,39.4950055,2.7000000
-74.5295765,39.4951586,3.0000000
-74.5295855,39.4953048,2.9000000
-74.5296034,39.4955136,3.0000000
-74.5296124,39.4956458,3.4000000
-74.5296124,39.4957989,3.2000000
-74.5296124,39.4959242,3.3000000
-74.5296214,39.4960216,3.6000000
-74.5295944,39.4961956,2.5000000
-74.5295765,39.4963070,2.6000000
-74.5295495,39.4963835,2.5000000
-74.5303400,39.4966341,2.7000000
-74.5303310,39.4964392,2.8000000
-74.5303400,39.4962722,3.5000000
-74.5303400,39.4960634,3.7000000
-74.5303580,39.4958755,3.3000000
-74.5303580,39.4957084,2.8000000
-74.5303760,39.4955414,2.8000000
-74.5303400,39.4953744,2.8000000
-74.5303310,39.4952143,2.7000000
-74.5302951,39.4950403,2.7000000
-74.5303580,39.4949916,2.9000000
-74.5303580,39.4948245,2.6000000
-74.5302951,39.4946853,2.7000000
-74.5302771,39.4945740,2.6000000
-74.5307263,39.4946714,2.7000000
-74.5307263,39.4947897,2.6000000
-74.5307173,39.4949289,2.7000000
-74.5307263,39.4950960,3.0000000
-74.5307353,39.4952491,2.9000000
-74.5307532,39.4954231,2.7000000
-74.5307892,39.4955553,2.6000000
-74.5307981,39.4957084,2.8000000
-74.5308161,39.4958755,3.1000000
-74.5308341,39.4960495,2.9000000
-74.5308251,39.4962095,3.1000000
-74.5308341,39.4963905,2.8000000
-74.5308790,39.4965854,2.5000000
-74.5308880,39.4967246,2.7000000
-74.5314090,39.4966619,2.7000000
-74.5315168,39.4965714,2.7000000
-74.5315437,39.4964601,2.7000000
-74.5315527,39.4963348,2.7000000
-74.5314000,39.4962443,3.1000000
-74.5312383,39.4960703,3.1000000
-74.5311754,39.4958546,2.8000000
-74.5311754,39.4955971,2.8000000
-74.5311754,39.4953674,2.8000000
-74.5311754,39.4951377,2.7000000
-74.5312203,39.4949220,2.7000000
-74.5312563,39.4947132,2.6000000
-74.5319210,39.4945531,2.4000000
-74.5320198,39.4946158,2.5000000
-74.5320018,39.4947758,3.0000000
-74.5319749,39.4950055,2.6000000
-74.5319479,39.4952630,2.7000000
-74.5319030,39.4955344,2.7000000
-74.5318761,39.4957920,2.7000000
-74.5318940,39.4960564,3.0000000
-74.5319210,39.4963209,2.5000000
-74.5319210,39.4965645,2.5000000
-74.5324510,39.4966828,2.8000000
-74.5325947,39.4966341,2.7000000
-74.5325228,39.4964044,2.7000000
-74.5324420,39.4961330,2.6000000
-74.5324150,39.4959172,2.9000000
-74.5324061,39.4957084,3.0000000
-74.5323791,39.4954718,2.7000000
-74.5323432,39.4952282,2.7000000
-74.5322983,39.4949568,2.5000000
-74.5322623,39.4947201,2.5000000
-74.5322444,39.4946158,2.6000000
-74.5328103,39.4943513,2.7000000
-74.5329091,39.4943722,2.7000000
-74.5328732,39.4945810,2.6000000
-74.5329091,39.4948245,2.5000000
-74.5329450,39.4950612,2.5000000
-74.5329540,39.4952839,2.7000000
-74.5329630,39.4955414,2.6000000
-74.5329899,39.4957920,2.7000000
-74.5330259,39.4960564,2.5000000
-74.5330618,39.4963418,2.7000000
-74.5330528,39.4965993,2.7000000
-74.5330708,39.4967246,2.7000000
-74.5313820,39.4965854,2.8000000
-74.5311934,39.4964810,3.0000000
-74.5312293,39.4963348,3.0000000
-74.5335559,39.4965784,2.8000000
-74.5334750,39.4964322,2.9000000
-74.5334391,39.4962722,2.4000000
-74.5334211,39.4961121,2.4000000
-74.5333852,39.4959451,2.6000000
-74.5333223,39.4956945,2.8000000
-74.5333133,39.4954648,2.7000000
-74.5333133,39.4952909,2.8000000
-74.5333043,39.4951099,2.8000000
-74.5333133,39.4948802,2.4000000
-74.5332864,39.4946505,2.4000000
-74.5332684,39.4945392,2.7000000
-74.5332325,39.4943652,3.0000000
-74.5339331,39.4944905,2.7000000
-74.5339691,39.4946088,2.7000000
-74.5339870,39.4947132,2.5000000
-74.5340140,39.4948593,2.5000000
-74.5340230,39.4950751,2.5000000
-74.5340230,39.4952143,2.4000000
-74.5340409,39.4953187,2.7000000
-74.5340499,39.4954509,2.6000000
-74.5340499,39.4956180,2.6000000
-74.5340589,39.4957850,2.6000000
-74.5340589,39.4959033,2.5000000
-74.5340679,39.4960425,2.5000000
-74.5340499,39.4961678,2.7000000
-74.5340769,39.4962652,2.7000000
-74.5345080,39.4958337,2.7000000
-74.5346158,39.4957363,2.7000000
-74.5345799,39.4955484,2.9000000
-74.5346248,39.4954161,2.7000000
-74.5345799,39.4953048,2.6000000
-74.5345260,39.4951308,2.8000000
-74.5345440,39.4949568,2.7000000
-74.5345619,39.4948037,2.7000000
-74.5345799,39.4947410,2.8000000
-74.5345979,39.4946923,1.6000000
-74.5350560,39.4950055,2.4000000
-74.5351548,39.4950751,2.8000000
-74.5351368,39.4952630,2.7000000
-74.5351548,39.4954231,2.4000000
-74.5351548,39.4955692,2.5000000
-74.5351458,39.4957850,2.8000000
-74.5351368,39.4959520,2.7000000
-74.5351009,39.4960495,1.6000000
-74.5352087,39.4953883,2.7000000
-74.5349662,39.4954231,2.7000000
-74.5347775,39.4954648,2.7000000
-74.5345889,39.4954927,2.4000000
-74.5343823,39.4954857,2.6000000
-74.5341667,39.4954927,2.6000000
-74.5339691,39.4954927,2.7000000
-74.5337625,39.4954857,2.7000000
-74.5335648,39.4954788,2.8000000
-74.5333672,39.4954718,2.8000000
-74.5331786,39.4954788,3.1000000
-74.5329540,39.4954579,3.0000000
-74.5327474,39.4954370,3.2000000
-74.5325318,39.4954370,3.0000000
-74.5323252,39.4954440,2.8000000
-74.5321276,39.4954161,2.7000000
-74.5318940,39.4954092,2.8000000
-74.5317144,39.4954092,2.7000000
-74.5315168,39.4953883,2.8000000
-74.5313102,39.4953674,2.8000000
-74.5311395,39.4953465,2.7000000
-74.5310137,39.4953326,3.1000000
-74.5307981,39.4953187,3.1000000
-74.5306454,39.4952839,3.2000000
-74.5304568,39.4952769,3.1000000
-74.5302771,39.4952839,2.8000000
-74.5301155,39.4952561,3.1000000
-74.5299358,39.4952213,2.9000000
-74.5297651,39.4951934,2.7000000
-74.5295765,39.4951656,2.8000000
-74.5293878,39.4951308,2.8000000
-74.5291812,39.4951029,2.7000000
-74.5290824,39.4950751,2.9000000
-74.5289746,39.4952352,3.1000000
-74.5288399,39.4954579,3.3000000
-74.5288219,39.4955344,4.2000000
-74.5288219,39.4956110,4.7000000
-74.5287860,39.4957084,4.2000000
-74.5287680,39.4958059,3.7000000
-74.5287680,39.4959033,4.0000000
-74.5287680,39.4959868,3.1000000
-74.5287590,39.4960495,2.6000000
-74.5301244,39.4968498,2.2000000
-74.5300526,39.4968220,3.3000000
-74.5300526,39.4967037,2.7000000
-74.5300436,39.4965923,2.9000000
-74.5300526,39.4964670,3.1000000
-74.5300705,39.4963348,3.6000000
-74.5300885,39.4962513,3.5000000
-74.5301424,39.4961121,3.9000000
-74.5300526,39.4960495,3.7000000
-74.5301424,39.4958824,3.6000000
-74.5301244,39.4957502,3.5000000
-74.5300885,39.4956180,3.2000000
-74.5300616,39.4954857,3.1000000
-74.5300436,39.4953465,2.9000000
-74.5300526,39.4952004,2.9000000
-74.5300795,39.4950264,3.0000000
-74.5300885,39.4948454,2.7000000
-74.5300795,39.4947201,2.7000000
-74.5300795,39.4945531,2.7000000
-74.5300795,39.4944696,2.6000000
-74.5314719,39.4945114,2.7000000
-74.5315437,39.4946575,2.7000000
-74.5315707,39.4948524,2.6000000
-74.5315796,39.4950403,2.8000000
-74.5316066,39.4952213,2.7000000
-74.5316425,39.4954509,2.7000000
-74.5316425,39.4956180,2.7000000
-74.5316335,39.4958198,2.7000000
-74.5316246,39.4959242,2.7000000
-74.5315976,39.4961469,2.8000000
-74.5315617,39.4963626,2.7000000
-74.5315707,39.4965436,2.6000000
-74.5315796,39.4966341,2.6000000
-74.5326845,39.4965993,2.5000000
-74.5326845,39.4964322,2.4000000
-74.5326396,39.4961817,2.7000000
-74.5325857,39.4959172,2.9000000
-74.5325318,39.4956249,3.3000000
-74.5325498,39.4953883,2.5000000
-74.5325408,39.4952073,2.8000000
-74.5325408,39.4949777,2.9000000
-74.5325408,39.4947410,2.7000000
-74.5325498,39.4945879,2.5000000
-74.5286600,39.4956600,0.0000000
-74.5286500,39.4956700,0.0000000
-74.5286500,39.4956700,0.0000000
-74.5286400,39.4956800,0.0000000
-74.5286400,39.4956900,0.0000000
-74.5286400,39.4957000,0.0000000
-74.5286300,39.4957100,0.0000000
-74.5286300,39.4957200,0.0000000
-74.5286300,39.4957200,0.0000000
-74.5286300,39.4957300,0.0000000
-74.5286200,39.4957400,0.0000000
-74.5286200,39.4957400,0.0000000
