Lat(X) Modified,Long(Y) Modified,Depth
5.9124,10.2567,2.8
6.631,11.3703,2.4
6.9903,12.4838,2.9
7.0801,13.667,3.6
7.0801,14.7109,3.3
6.9005,15.7549,3.4
6.631,17.0772,3.4
6.7208,18.7476,3.5
6.7208,20.1395,2.9
6.631,21.3923,2.6
6.8106,22.5058,2.6
6.8106,23.341,2.6
6.5411,23.9674,2.7
9.8648,29.3265,2.6
10.2241,29.5353,2.6
10.1343,29.0481,2.6
10.2241,28.2825,2.6
10.3139,27.2385,2.6
10.1343,25.4986,2.5
10.1343,23.8282,2.6
9.8648,22.645,2.7
9.8648,21.1139,3
9.9546,19.6523,2.9
10.1343,17.5644,3
10.2241,16.2421,3.4
10.2241,14.7109,3.2
10.2241,13.4582,3.3
10.3139,12.4838,3.6
10.0444,10.7439,2.5
9.8648,9.6303,2.6
9.5953,8.8648,2.5
17.5002,6.3593,2.7
17.4103,8.308,2.8
17.5002,9.9783,3.5
17.5002,12.0662,3.7
17.6798,13.9453,3.3
17.6798,15.6157,2.8
17.8595,17.286,2.8
17.5002,18.9564,2.8
17.4103,20.5571,2.7
17.051,22.2971,2.7
17.6798,22.7842,2.9
17.6798,24.4546,2.6
17.051,25.8466,2.7
16.8714,26.9601,2.6
21.3628,25.9858,2.7
21.3628,24.8026,2.6
21.2729,23.4106,2.7
21.3628,21.7403,3
21.4526,20.2091,2.9
21.6322,18.4692,2.7
21.9916,17.1468,2.6
22.0814,15.6157,2.8
22.261,13.9453,3.1
22.4407,12.2054,2.9
22.3509,10.6047,3.1
22.4407,8.7952,2.8
22.8898,6.8465,2.5
22.9797,5.4545,2.7
28.1897,6.0809,2.7
29.2676,6.9857,2.7
29.5371,8.0992,2.7
29.6269,9.3519,2.7
28.0999,10.2567,3.1
26.483,11.9966,3.1
25.8542,14.1541,2.8
25.8542,16.7292,2.8
25.8542,19.026,2.8
25.8542,21.3227,2.7
26.3033,23.4802,2.7
26.6626,25.5682,2.6
33.3099,27.1689,2.4
34.298,26.5425,2.5
34.1183,24.9418,3
33.8489,22.645,2.6
33.5794,20.0699,2.7
33.1302,17.3556,2.7
32.8607,14.7805,2.7
33.0404,12.1358,3
33.3099,9.4911,2.5
33.3099,7.0553,2.5
38.6097,5.8721,2.8
40.047,6.3593,2.7
39.3284,8.656,2.7
38.5199,11.3703,2.6
38.2504,13.5278,2.9
38.1606,15.6157,3
37.8911,17.982,2.7
37.5318,20.4179,2.7
37.0827,23.1322,2.5
36.7234,25.4986,2.5
36.5437,26.5425,2.6
42.2029,29.1873,2.7
43.191,28.9785,2.7
42.8317,26.8905,2.6
43.191,24.4546,2.5
43.5503,22.0883,2.5
43.6401,19.8611,2.7
43.7299,17.286,2.6
43.9994,14.7805,2.7
44.3587,12.1358,2.5
44.718,9.2823,2.7
44.6282,6.7073,2.7
44.8079,5.4545,2.7
27.9202,6.8465,2.8
26.0338,7.8904,3
26.3931,9.3519,3
49.6586,6.9161,2.8
48.8501,8.3776,2.9
48.4908,9.9783,2.4
48.3112,11.579,2.4
47.9519,13.2494,2.6
47.3231,15.7549,2.8
47.2332,18.0516,2.7
47.2332,19.7915,2.8
47.1434,21.6011,2.8
47.2332,23.8978,2.4
46.9637,26.1946,2.4
46.7841,27.3081,2.7
46.4248,29.0481,3
53.4314,27.7953,2.7
53.7907,26.6121,2.7
53.9703,25.5682,2.5
54.2398,24.1066,2.5
54.3296,21.9491,2.5
54.3296,20.5571,2.4
54.5093,19.5131,2.7
54.5991,18.1908,2.6
54.5991,16.5204,2.6
54.689,14.8501,2.6
54.689,13.667,2.5
54.7788,12.275,2.5
54.5991,11.0223,2.7
54.8686,10.0479,2.7
59.1804,14.3629,2.7
60.2583,15.3373,2.7
59.899,17.2164,2.9
60.3481,18.5388,2.7
59.899,19.6523,2.6
59.36,21.3923,2.8
59.5397,23.1322,2.7
59.7193,24.6634,2.7
59.899,25.2898,2.8
60.0786,25.777,1.6
64.6599,22.645,2.4
65.648,21.9491,2.8
65.4683,20.0699,2.7
65.648,18.4692,2.4
65.648,17.0076,2.5
65.5581,14.8501,2.8
65.4683,13.1798,2.7
65.109,12.2054,1.6
66.1869,18.8172,2.7
63.7616,18.4692,2.7
61.8752,18.0516,2.7
59.9888,17.7732,2.4
57.9228,17.8428,2.6
55.7669,17.7732,2.6
53.7907,17.7732,2.7
51.7246,17.8428,2.7
49.7484,17.9124,2.8
47.7722,17.982,2.8
45.8858,17.9124,3.1
43.6401,18.1212,3
41.5741,18.33,3.2
39.4182,18.33,3
37.3521,18.2604,2.8
35.3759,18.5388,2.7
33.0404,18.6084,2.8
31.2438,18.6084,2.7
29.2676,18.8172,2.8
27.2016,19.026,2.8
25.4949,19.2347,2.7
24.2373,19.3739,3.1
22.0814,19.5131,3.1
20.5543,19.8611,3.2
18.6679,19.9307,3.1
16.8714,19.8611,2.8
15.2545,20.1395,3.1
13.4579,20.4875,2.9
11.7512,20.7659,2.7
9.8648,21.0443,2.8
7.9784,21.3923,2.8
5.9124,21.6707,2.7
4.9242,21.9491,2.9
3.8463,20.3483,3.1
2.4989,18.1212,3.3
2.3192,17.3556,4.2
2.3192,16.59,4.7
1.9599,15.6157,4.2
1.7803,14.6413,3.7
1.7803,13.667,4
1.7803,12.8318,3.1
1.6904,12.2054,2.6
15.3443,4.2018,2.2
14.6257,4.4802,3.3
14.6257,5.6633,2.7
14.5358,6.7769,2.9
14.6257,8.0296,3.1
14.8053,9.3519,3.6
14.985,10.1871,3.5
15.5239,11.579,3.9
14.6257,12.2054,3.7
15.5239,13.8757,3.6
15.3443,15.1981,3.5
14.985,16.5204,3.2
14.7155,17.8428,3.1
14.5358,19.2347,2.9
14.6257,20.6963,2.9
14.8951,22.4363,3
14.985,24.2458,2.7
14.8951,25.4986,2.7
14.8951,27.1689,2.7
14.8951,28.0041,2.6
28.8185,27.5865,2.7
29.5371,26.125,2.7
29.8066,24.1762,2.6
29.8964,22.2971,2.8
30.1659,20.4875,2.7
30.5252,18.1908,2.7
